timestamp,gpu_id,gpu_name,utilization_%,memory_used_mb,memory_total_mb,memory_util_%,temperature_c,power_w,python_processes
2025-08-23T12:13:30.188527,0,NVIDIA GeForce RTX 2060 SUPER,3,794,8192,9.6923828125,50,16.193,
2025-08-23T12:13:30.696545,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,16.552,
2025-08-23T12:13:31.205901,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,16.181,
2025-08-23T12:13:31.713549,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,15.942,
2025-08-23T12:13:32.221368,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,15.979,
2025-08-23T12:13:32.729034,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,15.919,
2025-08-23T12:13:33.238406,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,14.984,
2025-08-23T12:13:33.746993,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,14.007,
2025-08-23T12:13:34.265249,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,50,13.448,
2025-08-23T12:13:34.774589,0,NVIDIA GeForce RTX 2060 SUPER,7,794,8192,9.6923828125,50,11.735,
2025-08-23T12:13:35.283611,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,12.179,
2025-08-23T12:13:35.793716,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,12.497,
2025-08-23T12:13:36.302018,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,13.36,
2025-08-23T12:13:36.806951,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,52,39.114,
2025-08-23T12:13:37.314064,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,52,39.143,
2025-08-23T12:13:37.818943,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,52,39.317,
2025-08-23T12:13:38.329766,0,NVIDIA GeForce RTX 2060 SUPER,0,794,8192,9.6923828125,52,39.175,
2025-08-23T12:13:38.838270,0,NVIDIA GeForce RTX 2060 SUPER,0,794,8192,9.6923828125,52,39.342,
2025-08-23T12:13:39.345493,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,52,39.009,
2025-08-23T12:13:39.852865,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,51,39.366,
2025-08-23T12:13:40.361756,0,NVIDIA GeForce RTX 2060 SUPER,0,794,8192,9.6923828125,51,21.028,
2025-08-23T12:13:40.870018,0,NVIDIA GeForce RTX 2060 SUPER,0,794,8192,9.6923828125,51,16.583,
2025-08-23T12:13:41.377707,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,50,16.576,
2025-08-23T12:13:41.885770,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,50,16.224,
2025-08-23T12:13:42.393370,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,16.206,
2025-08-23T12:13:42.900973,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,16.401,
2025-08-23T12:13:43.949422,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,50,14.323,
2025-08-23T12:13:44.458855,0,NVIDIA GeForce RTX 2060 SUPER,5,794,8192,9.6923828125,50,16.581,
2025-08-23T12:13:44.976667,0,NVIDIA GeForce RTX 2060 SUPER,18,794,8192,9.6923828125,50,14.098,
2025-08-23T12:13:45.485547,0,NVIDIA GeForce RTX 2060 SUPER,18,794,8192,9.6923828125,50,13.793,
2025-08-23T12:13:45.993159,0,NVIDIA GeForce RTX 2060 SUPER,11,794,8192,9.6923828125,50,16.694,
2025-08-23T12:13:46.502800,0,NVIDIA GeForce RTX 2060 SUPER,11,794,8192,9.6923828125,50,14.823,
2025-08-23T12:13:47.011724,0,NVIDIA GeForce RTX 2060 SUPER,15,794,8192,9.6923828125,50,13.54,
2025-08-23T12:13:47.527336,0,NVIDIA GeForce RTX 2060 SUPER,15,794,8192,9.6923828125,50,16.499,
2025-08-23T12:13:48.039530,0,NVIDIA GeForce RTX 2060 SUPER,10,794,8192,9.6923828125,50,16.453,
2025-08-23T12:13:48.549624,0,NVIDIA GeForce RTX 2060 SUPER,10,794,8192,9.6923828125,51,20.434,
2025-08-23T12:13:49.056917,0,NVIDIA GeForce RTX 2060 SUPER,6,794,8192,9.6923828125,52,39.241,
2025-08-23T12:13:49.564044,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,52,39.143,
2025-08-23T12:13:50.068874,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,52,39.269,
2025-08-23T12:13:50.576172,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,52,39.436,
2025-08-23T12:13:51.081208,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,52,39.133,
2025-08-23T12:13:51.590788,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,52,40.22,
2025-08-23T12:13:52.097615,0,NVIDIA GeForce RTX 2060 SUPER,1,794,8192,9.6923828125,52,39.481,
2025-08-23T12:13:52.605424,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,51,21.267,
2025-08-23T12:13:53.112872,0,NVIDIA GeForce RTX 2060 SUPER,2,794,8192,9.6923828125,50,16.078,
2025-08-23T12:13:53.621334,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,15.027,
2025-08-23T12:13:54.134066,0,NVIDIA GeForce RTX 2060 SUPER,4,794,8192,9.6923828125,50,12.876,
2025-08-23T12:13:54.651846,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,14.913,
2025-08-23T12:13:55.160743,0,NVIDIA GeForce RTX 2060 SUPER,8,794,8192,9.6923828125,50,13.992,
2025-08-23T12:13:55.669977,0,NVIDIA GeForce RTX 2060 SUPER,13,794,8192,9.6923828125,50,14.159,
2025-08-23T12:13:56.184934,0,NVIDIA GeForce RTX 2060 SUPER,13,794,8192,9.6923828125,50,14.55,
2025-08-23T12:13:56.693272,0,NVIDIA GeForce RTX 2060 SUPER,13,794,8192,9.6923828125,50,12.876,
2025-08-23T12:13:57.206829,0,NVIDIA GeForce RTX 2060 SUPER,13,794,8192,9.6923828125,50,14.499,
2025-08-23T12:13:57.715663,0,NVIDIA GeForce RTX 2060 SUPER,10,793,8192,9.68017578125,50,13.253,
2025-08-23T12:13:58.223080,0,NVIDIA GeForce RTX 2060 SUPER,10,793,8192,9.68017578125,50,16.415,
2025-08-23T12:13:58.736699,0,NVIDIA GeForce RTX 2060 SUPER,5,793,8192,9.68017578125,50,15.281,
2025-08-23T12:13:59.246630,0,NVIDIA GeForce RTX 2060 SUPER,5,793,8192,9.68017578125,50,16.863,
2025-08-23T12:13:59.755172,0,NVIDIA GeForce RTX 2060 SUPER,10,793,8192,9.68017578125,50,15.433,
2025-08-23T12:14:00.283576,0,NVIDIA GeForce RTX 2060 SUPER,10,793,8192,9.68017578125,50,16.857,
2025-08-23T12:14:00.796804,0,NVIDIA GeForce RTX 2060 SUPER,12,793,8192,9.68017578125,50,13.363,
2025-08-23T12:14:01.312167,0,NVIDIA GeForce RTX 2060 SUPER,12,793,8192,9.68017578125,50,13.498,
2025-08-23T12:14:01.820998,0,NVIDIA GeForce RTX 2060 SUPER,9,793,8192,9.68017578125,50,12.945,
2025-08-23T12:14:02.329560,0,NVIDIA GeForce RTX 2060 SUPER,9,793,8192,9.68017578125,50,12.948,
2025-08-23T12:14:02.846650,0,NVIDIA GeForce RTX 2060 SUPER,7,793,8192,9.68017578125,50,12.738,
2025-08-23T12:14:03.361890,0,NVIDIA GeForce RTX 2060 SUPER,7,793,8192,9.68017578125,50,16.75,
2025-08-23T12:14:03.867055,0,NVIDIA GeForce RTX 2060 SUPER,10,793,8192,9.68017578125,50,13.658,
